Paulo Sergio  Ceretta,Eduardo Dalcin
Eduardo Dalcin,Ilse  Abegg
Ilse  Abegg,Paulo Sergio  Ceretta
Rina  Ricci-Cagnacci,J. Laize S. Oliveira
J. Laize S. Oliveira,Rina  Ricci-Cagnacci
Vanessa Battestin,Dainer Marçal  Dias
Dainer Marçal  Dias,Vanessa Battestin
Pétala Tuani Candido de Oliveira Salvador,Alexandy Michel Dantas  Santos
Alexandy Michel Dantas  Santos,Rayssa Horacio  Lopes
Rayssa Horacio  Lopes,Kisna Yasmin Andrade  Alves
Kisna Yasmin Andrade  Alves,Lannuzya Verí­ssimo e   Oliveira
Lannuzya Verí­ssimo e   Oliveira,Pétala Tuani Candido de Oliveira Salvador
Regina Farias de   Souza,Giselle Cristina Martins  Real
Giselle Cristina Martins  Real,Francielle Priscyla Pott
Francielle Priscyla Pott,Regina Farias de   Souza
Estefan Monteiro da  Fonseca,Maria Hermí­nia Schenkel
Maria Hermí­nia Schenkel,Estefan Monteiro da  Fonseca
Roney Gusmão,Roney Gusmão
Vanessa Faria de  Souza,Vanessa Faria de  Souza
Angélica da Fontoura Garcia Silva,Marcia Lopes de Moraes  Sella
Marcia Lopes de Moraes  Sella,Diego Fogaça  Carvalho
Diego Fogaça  Carvalho,Angela Meneghello  Passos
Angela Meneghello  Passos,Angélica da Fontoura Garcia Silva
Érika Luí­se Benini,Kári Lúcia Forneck
Kári Lúcia Forneck,Lucimara Fiorese
Lucimara Fiorese,Érika Luí­se Benini
Lucila Maria Costi  Santarosa,Camila Guedes  Guerra
Camila Guedes  Guerra,Fernando Henrique Fogaça  Carneiro
Fernando Henrique Fogaça  Carneiro,Lucila Maria Costi  Santarosa
Wander  Plassa,Wander  Plassa
Mariana Conceição de  Souza,Livia Deris  Prado
Livia Deris  Prado,Camila Areias de  Oliveira
Camila Areias de  Oliveira,Mariana Conceição de  Souza
Patricia Bassani,Daniela Cardoso  Tavares
Daniela Cardoso  Tavares,Sandra Oliveira
Sandra Oliveira,Filipe Santos
Filipe Santos,Patricia Bassani
Paulo Henrique Santos de Sousa,Bruno Santana da Silva
Bruno Santana da Silva,Paulo Henrique Santos de Sousa
Gabriela Perry,Napoliana Silva de  Souza
Napoliana Silva de  Souza,Gabriela Perry
Francesca Danielle Gurgel dos  Santos,Francisca Hênia Peixoto
Francisca Hênia Peixoto,Francesca Danielle Gurgel dos  Santos
Germana Costa  Paixão,Anayara Fernandes  Chagas
Anayara Fernandes  Chagas,Samuel David Capistrano  Malveira
Samuel David Capistrano  Malveira,Mayara Setúbal Oliveira  Araújo
Mayara Setúbal Oliveira  Araújo,Lydia Dayanne Maia  Pantoja
Lydia Dayanne Maia  Pantoja,Germana Costa  Paixão
Ana Emilia Figueiredo de  Oliveira,Francenilde Silva de  Sousa
Francenilde Silva de  Sousa,Paola Trindade  Garcia
Paola Trindade  Garcia,Deysianne Costa das  Chagas
Deysianne Costa das  Chagas,Stephanie Matos  Silva
Stephanie Matos  Silva,Regimarina Soares  Reis
Regimarina Soares  Reis,Ana Emilia Figueiredo de  Oliveira
Ellem de Souza Coimbra,Flávia Barbosa da Silva Dutra
Flávia Barbosa da Silva Dutra,Alexandre Botelho José
Alexandre Botelho José,Adriana Maria da Silva Pereira
Adriana Maria da Silva Pereira,Ana Paula  Miranda da Silva
Ana Paula  Miranda da Silva,Ellem de Souza Coimbra
Diene Eire de  Méllo,Krishna Campos
Krishna Campos,Dirce Aparecida Foletto de Moraes
Dirce Aparecida Foletto de Moraes,Diene Eire de  Méllo
Marianne  Spalding,Sofia Tosta
Sofia Tosta,Ellen Eduarda Fernandes
Ellen Eduarda Fernandes,Luana Marotta Reis de  Vasconcellos
Luana Marotta Reis de  Vasconcellos,Miguel Angel Castillo  Salgado
Miguel Angel Castillo  Salgado,Marianne  Spalding
Denise Lannes,Cristina Oliveira Maia
Cristina Oliveira Maia,Denise Lannes
Márcia Barroso  Fontes,Thalita Rodrigues  Rossi
Thalita Rodrigues  Rossi,Márcia Barroso  Fontes
Rosana Dos Santos  Jordão,Ana Flavia  Segati
Ana Flavia  Segati,Rosana Dos Santos  Jordão
Gabrielle Alves Chagas,Maria Carolina Tomás
